blacks	reds	stand	draw	choice
1	1	0.50	0.50	TIE
1	2	0.33	0.25	STAND
1	3	0.25	0.17	STAND
1	4	0.20	0.12	STAND
1	5	0.17	0.10	STAND
1	6	0.14	0.08	STAND
1	7	0.12	0.07	STAND
1	8	0.11	0.06	STAND
1	9	0.10	0.06	STAND
1	10	0.09	0.05	STAND
1	11	0.08	0.05	STAND
1	12	0.08	0.04	STAND
1	13	0.07	0.04	STAND
1	14	0.07	0.04	STAND
1	15	0.06	0.03	STAND
1	16	0.06	0.03	STAND
1	17	0.06	0.03	STAND
1	18	0.05	0.03	STAND
1	19	0.05	0.03	STAND
1	20	0.05	0.03	STAND
1	21	0.05	0.02	STAND
1	22	0.04	0.02	STAND
1	23	0.04	0.02	STAND
1	24	0.04	0.02	STAND
1	25	0.04	0.02	STAND
1	26	0.04	0.02	STAND
2	1	0.67	0.75	DRAW
2	2	0.50	0.54	DRAW
2	3	0.40	0.40	STAND
2	4	0.33	0.30	STAND
2	5	0.29	0.25	STAND
2	6	0.25	0.21	STAND
2	7	0.22	0.19	STAND
2	8	0.20	0.17	STAND
2	9	0.18	0.15	STAND
2	10	0.17	0.14	STAND
2	11	0.15	0.12	STAND
2	12	0.14	0.12	STAND
2	13	0.13	0.11	STAND
2	14	0.12	0.10	STAND
2	15	0.12	0.09	STAND
2	16	0.11	0.09	STAND
2	17	0.11	0.08	STAND
2	18	0.10	0.08	STAND
2	19	0.10	0.08	STAND
2	20	0.09	0.07	STAND
2	21	0.09	0.07	STAND
2	22	0.08	0.07	STAND
2	23	0.08	0.06	STAND
2	24	0.08	0.06	STAND
2	25	0.07	0.06	STAND
2	26	0.07	0.06	STAND
3	1	0.75	0.88	DRAW
3	2	0.60	0.71	DRAW
3	3	0.50	0.55	DRAW
3	4	0.43	0.44	DRAW
3	5	0.38	0.36	STAND
3	6	0.33	0.31	STAND
3	7	0.30	0.28	STAND
3	8	0.27	0.25	STAND
3	9	0.25	0.23	STAND
3	10	0.23	0.21	STAND
3	11	0.21	0.19	STAND
3	12	0.20	0.18	STAND
3	13	0.19	0.17	STAND
3	14	0.18	0.16	STAND
3	15	0.17	0.15	STAND
3	16	0.16	0.14	STAND
3	17	0.15	0.13	STAND
3	18	0.14	0.12	STAND
3	19	0.14	0.12	STAND
3	20	0.13	0.11	STAND
3	21	0.12	0.11	STAND
3	22	0.12	0.10	STAND
3	23	0.12	0.10	STAND
3	24	0.11	0.10	STAND
3	25	0.11	0.09	STAND
3	26	0.10	0.09	STAND
4	1	0.80	0.94	DRAW
4	2	0.67	0.82	DRAW
4	3	0.57	0.69	DRAW
4	4	0.50	0.57	DRAW
4	5	0.44	0.47	DRAW
4	6	0.40	0.40	DRAW
4	7	0.36	0.35	STAND
4	8	0.33	0.32	STAND
4	9	0.31	0.29	STAND
4	10	0.29	0.27	STAND
4	11	0.27	0.25	STAND
4	12	0.25	0.23	STAND
4	13	0.24	0.22	STAND
4	14	0.22	0.21	STAND
4	15	0.21	0.19	STAND
4	16	0.20	0.18	STAND
4	17	0.19	0.17	STAND
4	18	0.18	0.17	STAND
4	19	0.17	0.16	STAND
4	20	0.17	0.15	STAND
4	21	0.16	0.15	STAND
4	22	0.15	0.14	STAND
4	23	0.15	0.13	STAND
4	24	0.14	0.13	STAND
4	25	0.14	0.12	STAND
4	26	0.13	0.12	STAND
5	1	0.83	0.97	DRAW
5	2	0.71	0.90	DRAW
5	3	0.62	0.79	DRAW
5	4	0.56	0.68	DRAW
5	5	0.50	0.57	DRAW
5	6	0.45	0.49	DRAW
5	7	0.42	0.43	DRAW
5	8	0.38	0.38	STAND
