loading words... finished loading 5839 legal words.
choose a target: considered guess ABETS (0/5839), target ABETS (1/5839), score 0 -> 1
considered guess ABHOR (1/5839), target ABETS (1/5839), score 0 -> 55
considered guess ABIDE (2/5839), target ABETS (1/5839), score 0 -> 46
considered guess ABLED (3/5839), target ABETS (1/5839), score 0 -> 160
considered guess ABLER (4/5839), target ABETS (1/5839), score 0 -> 153
considered guess ABLES (5/5839), target ABETS (1/5839), score 0 -> 15
considered guess ABMHO (6/5839), target ABETS (1/5839), score 0 -> 30
considered guess ABODE (7/5839), target ABETS (1/5839), score 0 -> 50
considered guess ABOHM (8/5839), target ABETS (1/5839), score 0 -> 56
considered guess ABOIL (9/5839), target ABETS (1/5839), score 0 -> 90
considered guess ABORT (10/5839), target ABETS (1/5839), score 0 -> 57
considered guess ABOUT (11/5839), target ABETS (1/5839), score 0 -> 38
considered guess ABOVE (12/5839), target ABETS (1/5839), score 0 -> 46
considered guess ABRIS (13/5839), target ABETS (1/5839), score 0 -> 20
considered guess ABUSE (14/5839), target ABETS (1/5839), score 0 -> 11
considered guess ABUTS (15/5839), target ABETS (1/5839), score 0 -> 1
considered guess ABYES (16/5839), target ABETS (1/5839), score 0 -> 2
considered guess ABYSM (17/5839), target ABETS (1/5839), score 0 -> 13
considered guess ACERB (18/5839), target ABETS (1/5839), score 0 -> 33
considered guess ACHED (19/5839), target ABETS (1/5839), score 0 -> 538
considered guess ACHES (20/5839), target ABETS (1/5839), score 0 -> 171
considered guess ACIDS (21/5839), target ABETS (1/5839), score 0 -> 195
considered guess ACIDY (22/5839), target ABETS (1/5839), score 0 -> 611
considered guess ACING (23/5839), target ABETS (1/5839), score 0 -> 414
considered guess ACMES (24/5839), target ABETS (1/5839), score 0 -> 209
considered guess ACNED (25/5839), target ABETS (1/5839), score 0 -> 673
considered guess ACNES (26/5839), target ABETS (1/5839), score 0 -> 245
considered guess ACOLD (27/5839), target ABETS (1/5839), score 0 -> 423
considered guess ACORN (28/5839), target ABETS (1/5839), score 0 -> 258
considered guess ACRED (29/5839), target ABETS (1/5839), score 0 -> 773
considered guess ACRES (30/5839), target ABETS (1/5839), score 0 -> 311
considered guess ACRID (31/5839), target ABETS (1/5839), score 0 -> 486
considered guess ACTED (32/5839), target ABETS (1/5839), score 0 -> 192
considered guess ACTIN (33/5839), target ABETS (1/5839), score 0 -> 493
considered guess ACTOR (34/5839), target ABETS (1/5839), score 0 -> 465
considered guess ACUTE (35/5839), target ABETS (1/5839), score 0 -> 63
considered guess ACYLS (36/5839), target ABETS (1/5839), score 0 -> 117
considered guess ADEPT (37/5839), target ABETS (1/5839), score 0 -> 42
considered guess ADIEU (38/5839), target ABETS (1/5839), score 0 -> 921
considered guess ADIOS (39/5839), target ABETS (1/5839), score 0 -> 162
considered guess ADITS (40/5839), target ABETS (1/5839), score 0 -> 31
considered guess ADMEN (41/5839), target ABETS (1/5839), score 0 -> 748
considered guess ADMIT (42/5839), target ABETS (1/5839), score 0 -> 538
considered guess ADMIX (43/5839), target ABETS (1/5839), score 0 -> 347
considered guess ADOBE (44/5839), target ABETS (1/5839), score 0 -> 142
considered guess ADOPT (45/5839), target ABETS (1/5839), score 0 -> 427
considered guess ADORE (46/5839), target ABETS (1/5839), score 0 -> 557
considered guess ADORN (47/5839), target ABETS (1/5839), score 0 -> 256
considered guess ADOWN (48/5839), target ABETS (1/5839), score 0 -> 326
considered guess ADOZE (49/5839), target ABETS (1/5839), score 0 -> 480
considered guess ADULT (50/5839), target ABETS (1/5839), score 0 -> 531
considered guess ADUNC (51/5839), target ABETS (1/5839), score 0 -> 422
considered guess ADUST (52/5839), target ABETS (1/5839), score 0 -> 165
considered guess ADZES (53/5839), target ABETS (1/5839), score 0 -> 192
considered guess AEGIS (54/5839), target ABETS (1/5839), score 0 -> 206
considered guess AEONS (55/5839), target ABETS (1/5839), score 0 -> 227
considered guess AFIRE (56/5839), target ABETS (1/5839), score 0 -> 598
considered guess AFORE (57/5839), target ABETS (1/5839), score 0 -> 582
considered guess AFOUL (58/5839), target ABETS (1/5839), score 0 -> 355
considered guess AFRIT (59/5839), target ABETS (1/5839), score 0 -> 671
considered guess AFTER (60/5839), target ABETS (1/5839), score 0 -> 198
considered guess AGENT (61/5839), target ABETS (1/5839), score 0 -> 58
considered guess AGERS (62/5839), target ABETS (1/5839), score 0 -> 27
considered guess AGILE (63/5839), target ABETS (1/5839), score 0 -> 593
considered guess AGIOS (64/5839), target ABETS (1/5839), score 0 -> 154
considered guess AGISM (65/5839), target ABETS (1/5839), score 0 -> 465
considered guess AGIST (66/5839), target ABETS (1/5839), score 0 -> 206
considered guess AGLET (67/5839), target ABETS (1/5839), score 0 -> 288
considered guess AGLEY (68/5839), target ABETS (1/5839), score 0 -> 811
considered guess AGLOW (69/5839), target ABETS (1/5839), score 0 -> 347
considered guess AGONE (70/5839), target ABETS (1/5839), score 0 -> 621
considered guess AGONS (71/5839), target ABETS (1/5839), score 0 -> 175
considered guess AGONY (72/5839), target ABETS (1/5839), score 0 -> 525
considered guess AGUES (73/5839), target ABETS (1/5839), score 0 -> 233
considered guess AHING (74/5839), target ABETS (1/5839), score 0 -> 488
considered guess AHOLD (75/5839), target ABETS (1/5839), score 0 -> 494
considered guess AIDER (76/5839), target ABETS (1/5839), score 0 -> 658
considered guess AIDES (77/5839), target ABETS (1/5839), score 0 -> 312
considered guess AILED (78/5839), target ABETS (1/5839), score 0 -> 734
considered guess AIMED (79/5839), target ABETS (1/5839), score 0 -> 701
considered guess AIMER (80/5839), target ABETS (1/5839), score 0 -> 680
considered guess AIRED (81/5839), target ABETS (1/5839), score 0 -> 820
considered guess AIRNS (82/5839), target ABETS (1/5839), score 0 -> 287
considered guess AIRTH (83/5839), target ABETS (1/5839), score 0 -> 124
considered guess AIRTS (84/5839), target ABETS (1/5839), score 0 -> 63
considered guess AISLE (85/5839), target ABETS (1/5839), score 0 -> 511
considered guess AITCH (86/5839), target ABETS (1/5839), score 0 -> 500
considered guess AIVER (87/5839), target ABETS (1/5839), score 0 -> 619
considered guess ALBUM (88/5839), target ABETS (1/5839), score 0 -> 384
