zone	name1	name2	habitat1	habitat2	favorite1	favorite2	favorite3	favorite4	favorite5	favorite6
Rocky Ridges	Machoke	Machamp	Bright		Hard stuff	Exercise	Group activities	Construction	Stone stuff	
Rocky Ridges	Lotad	Lombre	Humid		Containers	Noisy stuff	Lots of water	Cleanliness	Lots of nature	
Rocky Ridges	Clefairy	Clefable	Dark		Pretty flowers	Play spaces	Group activities	Healing	Cute stuff	
Sparkling Skylands	Dreepy	Drakloak	Humid		Rides	Lots of fire	Group activities	Strange stuff	Spooky stuff	
Bleak Beach	Spinarak	Ariados	Humid		Rides	Colorful stuff	Garbage	Lots of nature	Wooden stuff	
Sparkling Skylands	Rookidee	Corvisquire	Bright		Containers	Nice breezes	Wooden stuff	Shiny stuff	Slender objects	
Bleak Beach	Piplup	Prinplup	Humid		Containers	Nice breezes	Cleanliness	Lots of water	Ocean vibes	
Rocky Ridges	Ekans	Arbok	Dark		Garbage	Spinning stuff	Lots of nature	Slender objects	Watching stuff	
Withered Wasteland	Fraxure	Haxorus	Dark		Exercise	Lots of fire	Lots of dirt	Sharp stuff	Luxury	
Withered Wasteland	Slowbro	Slowking	Humid		Lots of water	Cleanliness	Group activities	Healing	Strange stuff	
Withered Wasteland	Tyrogue	Hitmontop	Bright		Round stuff	Fabric	Exercise	Group activities	Stone stuff	
Withered Wasteland	Hitmonlee	Hitmonchan	Bright		Round stuff	Fabric	Exercise	Group activities	Stone stuff	
Bleak Beach	Zorua	Zoroark	Dark		Shiny stuff	Group activities	Luxury	Glass stuff		
Bleak Beach	Combusken	Blaziken	Warm		Construction	Exercise	Containers	Lots of fire		
Rocky Ridges	Diglett	Dugtrio	Dark		Slender objects	Play spaces	Group activities	Lots of dirt		
Sparkling Skylands	Abra	Alakazam	Dark		Strange stuff	Wobbly stuff	Watching stuff	Metal stuff		
Sparkling Skylands	Frogadier	Greninja	Humid		Cleanliness	Ocean vibes	Exercise	Lots of water		
Sparkling Skylands	Swablu	Altaria	Bright		Soft stuff	Nice breezes	Watching stuff	Cute stuff		
Bleak Beach	Makuhita	Hariyama	Bright		Construction	Round stuff	Exercise	Fabric		
Bleak Beach	Pawmi	Pawmo	Bright		Electronics	Group activities	Shiny stuff	Glass stuff		
Bleak Beach	Mareep	Flaaffy	Bright		Electronics	Shiny stuff	Cute stuff	Glass stuff		
Bleak Beach	Happiny	Audino	Bright		Soft stuff	Round stuff	Fabric	Healing		
Withered Wasteland	Litwick	Lampent	Warm		Spooky stuff	Wobbly stuff	Strange stuff	Lots of fire		
Withered Wasteland	Shellos	Gastrodon	Humid		Cleanliness	Ocean vibes	Containers	Lots of water		
Withered Wasteland	Cubone	Marowak	Dry		Slender objects	Lots of dirt	Construction	Exercise		
Withered Wasteland	Slowpoke	Sliggoo	Humid		Soft stuff	Lots of water	Cleanliness	Healing		
Withered Wasteland	Wartortle	Blastoise	Humid		Lots of water	Cleanliness	Exercise	Healing		
Withered Wasteland	Charmander	Charmeleon	Warm		Exercise	Wooden stuff	Hard stuff	Lots of fire		
Withered Wasteland	Pidgey	Pidgeotto	Bright		Soft stuff	Nice breezes	Lots of nature	Watching stuff		
Withered Wasteland	Skiploom	Jumpluff	Bright		Pretty flowers	Soft stuff	Lots of nature	Nice breezes		
Withered Wasteland	Pinsir	Heracross	Bright		Pretty flowers	Exercise	Wooden stuff	Lots of nature		
Withered Wasteland	Paras	Parasect	Humid		Lots of dirt	Wooden stuff	Lots of nature	Watching stuff		
Withered Wasteland	Combee	Vespiquen	Bright		Nice breezes	Gatherings	Wooden stuff	Lots of nature		
Bleak Beach	Growlithe	Torchic	Warm		Pretty flowers	Stone stuff	Lots of fire			
Sparkling Skylands	Snivy	Serperior	Humid		Lots of water	Lots of nature	Wooden stuff			
Bleak Beach	Lapras	Azurill	Humid		Lots of water	Cleanliness	Healing			
Bleak Beach	Marill	Clodsire	Humid		Round stuff	Cleanliness	Lots of water			
Bleak Beach	Peakychu	Elekid	Bright		Electronics	Cute stuff	Glass stuff			
Sparkling Skylands	Vibrava	Flygon	Dry		Lots of dirt	Lots of nature	Lots of fire			
Sparkling Skylands	Vulpix	Ninetales	Warm		Pretty flowers	Soft stuff	Lots of fire			
Withered Wasteland	Timburr	Gurdurr	Bright		Slender objects	Construction	Exercise			
Withered Wasteland	Drilbur	Excadrill	Dark		Lots of dirt	Watching stuff	Sharp stuff			
Rocky Ridges	Graveler	Tyranitar	Dark		Exercise	Stone stuff	Hard stuff			
Withered Wasteland	Squirtle	Goomy	Humid		Lots of water	Cleanliness	Healing			
Rocky Ridges	Magmar	Charcadet	Warm		Exercise	Stone stuff	Lots of fire			
Rocky Ridges	Fidough	Dachsbun	Warm		Cute stuff	Watching stuff	Lots of fire			
Bleak Beach	Exeggcute	Grubbin	Bright		Lots of nature	Watching stuff				
Bleak Beach	Voltorb	Smeargle	Bright		Shiny stuff	Colorful stuff				
Sparkling Skylands	Dratini	Dragonite	Humid		Cleanliness	Lots of fire				
Sparkling Skylands	Misdreavus	Duskull	Dark		Spooky stuff	Strange stuff				
Withered Wasteland	Magnemite	Raikou	Bright		Electronics	Shiny stuff				
Rocky Ridges	Jigglypuff	Hoppip	Bright		Soft stuff	Wobbly stuff				
Rocky Ridges	Kricketot	Dartrix	Dark		Lots of nature	Wooden stuff				
Rocky Ridges	Bonsly	Volcarona	Dry		Lots of nature	Wooden stuff				
Rocky Ridges	Arcanine	Scorbunny	Warm		Stone stuff	Lots of fire				
Withered Wasteland	Bellossom	Pichu	Bright		Pretty flowers	Cute stuff				
Withered Wasteland	Cacnea	Cacturne	Dry		Lots of nature	Sharp stuff				
Withered Wasteland	Venonat	Scyther	Bright		Lots of nature	Wooden stuff				
Rocky Ridges	Larvitar	Gimmighoul	Dark		Shiny stuff					
Rocky Ridges	Ludicolo	Toxel	Humid		Noisy stuff					
Rocky Ridges	Igglybuff	Greedent	Warm		Soft stuff					
Withered Wasteland	Tangrowth	Magikarp	Humid		Group activities					
Withered Wasteland	Charizard	Drifloon	Warm		Nice breezes					
Bleak Beach	Zubat	Farfetch'd	Dark	Warm	Nice breezes	Wooden stuff				
Withered Wasteland	Bulbasaur	Bellsprout	Humid	Bright	Lots of water	Lots of nature				
Sparkling Skylands	Pupitar	Metang	Dark	Cool	Stone stuff	Hard stuff				
Sparkling Skylands	Girafarig	Trapinch	Dry	Warm	Watching stuff	Strange stuff				
Withered Wasteland	Onix	Axew	Dry	Dark	Lots of dirt					
Withered Wasteland	Illumise	Gulpin	Dark	Humid	Cute stuff					
Sparkling Skylands	Gardevoir	Froakie	Humid	Bright	Watching stuff					
Sparkling Skylands	Wattrel		Bright		Gatherings	Electronics	Nice breezes	Complicated stuff	Ocean vibes	
Rocky Ridges	Steelix		Dry		Hard stuff	Lots of dirt	Metal stuff	Slender objects	Stone stuff	
Sparkling Skylands	Sprigatito		Bright		Pretty flowers	Colorful stuff	Containers	Lots of nature	Cute stuff	
Rocky Ridges	Rotom		Bright		Noisy stuff	Group activities	Blocky stuff	Glass stuff	Shiny stuff	
Rocky Ridges	Riolu		Dark		Gatherings	Fabric	Exercise	Construction	Watching stuff	
Bleak Beach	Minccino		Bright		Rides	Fabric	Soft stuff	Cleanliness	Cute stuff	
Bleak Beach	Meowth		Cool		Containers	Group activities	Glass stuff	Shiny stuff	Luxury	
Withered Wasteland	Hoothoot		Dark		Wobbly stuff	Fabric	Soft stuff	Nice breezes	Watching stuff	
Palette Town	Eevee		Warm		Letters and words	Soft stuff	Group activities	Cute stuff	Stone stuff	
Rocky Ridges	Cleffa		Dark		Rides	Round stuff	Colorful stuff	Healing	Cute stuff	
