name	zone	ideal habitat	favorites (csv)
Bulbasaur	Withered Wasteland	Bright	Lots of nature,Soft stuff,Cute stuff,Lots of water,Group activities,Sweet flavors
Charmander	Withered Wasteland	Warm	Lots of fire,Wooden stuff,Hard stuff,Exercise,Group activities,Spicy flavors
Charmeleon	Withered Wasteland	Warm	Lots of fire,Wooden stuff,Hard stuff,Exercise,Rides,Spicy flavors
Charizard	Withered Wasteland	Warm	Lots of fire,Nice breezes,Wooden stuff,Exercise,Luxury,Spicy flavors
Squirtle	Withered Wasteland	Humid	Lots of water,Cleanliness,Healing,Cute stuff,Group activities,Sweet flavors
Wartortle	Withered Wasteland	Humid	Lots of water,Cleanliness,Healing,Exercise,Hard stuff,Spicy flavors
Blastoise	Withered Wasteland	Humid	Lots of water,Cleanliness,Healing,Exercise,Luxury,Sour flavors
Pidgey	Withered Wasteland	Bright	Soft stuff,Nice breezes,Watching stuff,Lots of nature,Play spaces,Sour flavors
Pidgeotto	Withered Wasteland	Bright	Soft stuff,Nice breezes,Watching stuff,Lots of nature,Looks like food,Spicy flavors
Bellossom	Withered Wasteland	Bright	Lots of nature,Pretty flowers,Play spaces,Cute stuff,Noisy stuff,Sour flavors
Paras	Withered Wasteland	Humid	Lots of nature,Wooden stuff,Watching stuff,Lots of dirt,Looks like food,Bitter flavors
Parasect	Withered Wasteland	Humid	Lots of nature,Wooden stuff,Watching stuff,Lots of dirt,Strange stuff,Bitter flavors
Venonat	Withered Wasteland	Bright	Lots of nature,Wooden stuff,Watching stuff,Complicated stuff,Letters and words,Bitter flavors
???	Withered Wasteland	Bright	
Bellsprout	Withered Wasteland	Humid	Lots of nature,Wooden stuff,Lots of dirt,Lots of water,Pretty flowers,Dry flavors
Slowpoke	Withered Wasteland	Humid	Lots of water,Cleanliness,Strange stuff,Soft stuff,Healing,Dry flavors
Slowbro	Withered Wasteland	Humid	Lots of water,Cleanliness,Strange stuff,Group activities,Healing,Dry flavors
Slowking	Withered Wasteland	Humid	Lots of water,Cleanliness,Strange stuff,Group activities,Healing,Sour flavors
Magnemite	Withered Wasteland	Bright	Electronics,Metal stuff,Shiny stuff,Hard stuff,Group activities,Bitter flavors
???	Bleak Beach	Bright	
???	Bleak Beach	Bright	
Onix	Withered Wasteland	Dry	Stone stuff,Lots of dirt,Blocky stuff,Slender objects,Exercise,Dry flavors
Steelix	Rocky Ridges	Dry	Metal stuff,Lots of dirt,Stone stuff,Slender objects,Hard stuff,Sour flavors
Cubone	Withered Wasteland	Dry	Lots of dirt,Construction,Exercise,Slender objects,Group activities,Bitter flavors
Marowak	Withered Wasteland	Dry	Lots of dirt,Construction,Exercise,Slender objects,Luxury,Dry flavors
Tyrogue	Withered Wasteland	Bright	Exercise,Group activities,Fabric,Stone stuff,Round stuff,Spicy flavors
